"state","county_name","fips_code","carrier","issuer_id","market","plan_count"
"AK","Dillingham Census Area","02070","Moda Health","73836","on_market",30
"AK","Dillingham Census Area","02070","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Dillingham Census Area","02070","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Dillingham Census Area","02070","UnitedHealthcare","80049","off_market",58
"AK","Fairbanks North Star Borough","02090","Aetna","11082","off_market",28
"AK","Fairbanks North Star Borough","02090","Moda Health","73836","on_market",30
"AK","Fairbanks North Star Borough","02090","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Fairbanks North Star Borough","02090","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Fairbanks North Star Borough","02090","UnitedHealthcare","80049","off_market",58
"AK","Haines Borough","02100","Aetna","11082","off_market",15
"AK","Haines Borough","02100","Moda Health","73836","on_market",30
"AK","Haines Borough","02100","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Haines Borough","02100","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Haines Borough","02100","UnitedHealthcare","80049","off_market",58
"AK","Hoonah-Angoon Census Area","02105","Aetna","11082","off_market",15
"AK","Hoonah-Angoon Census Area","02105","Moda Health","73836","on_market",30
"AK","Hoonah-Angoon Census Area","02105","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Hoonah-Angoon Census Area","02105","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Hoonah-Angoon Census Area","02105","UnitedHealthcare","80049","off_market",58
"AK","Juneau City and Borough","02110","Aetna","11082","off_market",15
"AK","Juneau City and Borough","02110","Moda Health","73836","on_market",30
"AK","Juneau City and Borough","02110","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Juneau City and Borough","02110","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Juneau City and Borough","02110","UnitedHealthcare","80049","off_market",58
"AK","Kenai Peninsula Borough","02122","Aetna","11082","off_market",28
"AK","Kenai Peninsula Borough","02122","Moda Health","73836","on_market",30
"AK","Kenai Peninsula Borough","02122","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Kenai Peninsula Borough","02122","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Kenai Peninsula Borough","02122","UnitedHealthcare","80049","off_market",58
"AK","Ketchikan Gateway Borough","02130","Aetna","11082","off_market",15
"AK","Ketchikan Gateway Borough","02130","Moda Health","73836","on_market",30
"AK","Ketchikan Gateway Borough","02130","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Ketchikan Gateway Borough","02130","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Ketchikan Gateway Borough","02130","UnitedHealthcare","80049","off_market",58
"AK","Kodiak Island Borough","02150","Aetna","11082","off_market",15
"AK","Kodiak Island Borough","02150","Moda Health","73836","on_market",30
"AK","Kodiak Island Borough","02150","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Kodiak Island Borough","02150","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Kodiak Island Borough","02150","UnitedHealthcare","80049","off_market",58
"AK","Kusilvak Census Area","02158","Aetna","11082","off_market",15
"AK","Kusilvak Census Area","02158","Moda Health","73836","on_market",30
"AK","Kusilvak Census Area","02158","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Kusilvak Census Area","02158","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Kusilvak Census Area","02158","UnitedHealthcare","80049","off_market",58
"AK","Lake and Peninsula Borough","02164","Aetna","11082","off_market",15
"AK","Lake and Peninsula Borough","02164","Moda Health","73836","on_market",30
"AK","Lake and Peninsula Borough","02164","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Lake and Peninsula Borough","02164","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Lake and Peninsula Borough","02164","UnitedHealthcare","80049","off_market",58
"AK","Matanuska-Susitna Borough","02170","Aetna","11082","off_market",28
"AK","Matanuska-Susitna Borough","02170","Moda Health","73836","on_market",30
"AK","Matanuska-Susitna Borough","02170","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Matanuska-Susitna Borough","02170","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Matanuska-Susitna Borough","02170","UnitedHealthcare","80049","off_market",58
"AK","Nome Census Area","02180","Aetna","11082","off_market",15
"AK","Nome Census Area","02180","Moda Health","73836","on_market",30
"AK","Nome Census Area","02180","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Nome Census Area","02180","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Nome Census Area","02180","UnitedHealthcare","80049","off_market",58
"AK","North Slope Borough","02185","Aetna","11082","off_market",15
"AK","North Slope Borough","02185","Moda Health","73836","on_market",30
"AK","North Slope Borough","02185","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","North Slope Borough","02185","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","North Slope Borough","02185","UnitedHealthcare","80049","off_market",58
"AK","Northwest Arctic Borough","02188","Aetna","11082","off_market",1
"AK","Northwest Arctic Borough","02188","Moda Health","73836","on_market",30
"AK","Northwest Arctic Borough","02188","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Northwest Arctic Borough","02188","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Northwest Arctic Borough","02188","UnitedHealthcare","80049","off_market",58
"AK","Petersburg Census Area","02195","Aetna","11082","off_market",15
"AK","Petersburg Census Area","02195","Moda Health","73836","on_market",30
"AK","Petersburg Census Area","02195","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Petersburg Census Area","02195","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Petersburg Census Area","02195","UnitedHealthcare","80049","off_market",58
"AK","Prince of Wales-Hyder Census Area","02198","Aetna","11082","off_market",15
"AK","Prince of Wales-Hyder Census Area","02198","Moda Health","73836","on_market",30
"AK","Prince of Wales-Hyder Census Area","02198","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Prince of Wales-Hyder Census Area","02198","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Prince of Wales-Hyder Census Area","02198","UnitedHealthcare","80049","off_market",58
"AK","Sitka City and Borough","02220","Aetna","11082","off_market",15
"AK","Sitka City and Borough","02220","Moda Health","73836","on_market",30
"AK","Sitka City and Borough","02220","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Sitka City and Borough","02220","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Sitka City and Borough","02220","UnitedHealthcare","80049","off_market",58
"AK","Skagway Municipality","02230","Aetna","11082","off_market",15
"AK","Skagway Municipality","02230","Moda Health","73836","on_market",30
"AK","Skagway Municipality","02230","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Skagway Municipality","02230","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Skagway Municipality","02230","UnitedHealthcare","80049","off_market",58
"AK","Southeast Fairbanks Census Area","02240","Aetna","11082","off_market",15
"AK","Southeast Fairbanks Census Area","02240","Moda Health","73836","on_market",30
"AK","Southeast Fairbanks Census Area","02240","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Southeast Fairbanks Census Area","02240","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Southeast Fairbanks Census Area","02240","UnitedHealthcare","80049","off_market",58
"AK","Valdez-Cordova Census Area","02261","Aetna","11082","off_market",15
"AK","Valdez-Cordova Census Area","02261","Moda Health","73836","on_market",30
"AK","Valdez-Cordova Census Area","02261","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Valdez-Cordova Census Area","02261","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Valdez-Cordova Census Area","02261","UnitedHealthcare","80049","off_market",58
"AK","Wrangell City and Borough","02275","Aetna","11082","off_market",15
"AK","Wrangell City and Borough","02275","Moda Health","73836","on_market",30
"AK","Wrangell City and Borough","02275","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Wrangell City and Borough","02275","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Wrangell City and Borough","02275","UnitedHealthcare","80049","off_market",58
"AK","Yakutat City and Borough","02282","Aetna","11082","off_market",15
"AK","Yakutat City and Borough","02282","Moda Health","73836","on_market",30
"AK","Yakutat City and Borough","02282","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Yakutat City and Borough","02282","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Yakutat City and Borough","02282","UnitedHealthcare","80049","off_market",58
"AK","Yukon-Koyukuk Census Area","02290","Aetna","11082","off_market",15
"AK","Yukon-Koyukuk Census Area","02290","Moda Health","73836","on_market",30
"AK","Yukon-Koyukuk Census Area","02290","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Yukon-Koyukuk Census Area","02290","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Yukon-Koyukuk Census Area","02290","UnitedHealthcare","80049","off_market",58
"AL","Autauga County","01001","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Autauga County","01001","Federated Mutual Insurance Company","44902","off_market",31
"AL","Autauga County","01001","UnitedHealthcare","42159","off_market",1
"AL","Autauga County","01001","UnitedHealthcare","68259","off_market",13
"AL","Autauga County","01001","UnitedHealthcare","69461","off_market",16
"AL","Autauga County","01001","VIVA Health","93018","off_market",6
"AL","Baldwin County","01003","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Baldwin County","01003","Federated Mutual Insurance Company","44902","off_market",31
"AL","Baldwin County","01003","UnitedHealthcare","42159","off_market",1
"AL","Baldwin County","01003","UnitedHealthcare","68259","off_market",13
"AL","Baldwin County","01003","UnitedHealthcare","69461","off_market",16
"AL","Baldwin County","01003","VIVA Health","93018","off_market",6
"AL","Barbour County","01005","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Barbour County","01005","Federated Mutual Insurance Company","44902","off_market",31
"AL","Barbour County","01005","UnitedHealthcare","42159","off_market",1
"AL","Barbour County","01005","UnitedHealthcare","68259","off_market",13
"AL","Barbour County","01005","UnitedHealthcare","69461","off_market",16
"AL","Barbour County","01005","VIVA Health","93018","off_market",6
"AL","Bibb County","01007","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Bibb County","01007","Federated Mutual Insurance Company","44902","off_market",31
"AL","Bibb County","01007","UnitedHealthcare","42159","off_market",1
"AL","Bibb County","01007","UnitedHealthcare","68259","off_market",13
"AL","Bibb County","01007","UnitedHealthcare","69461","off_market",16
"AL","Bibb County","01007","VIVA Health","93018","off_market",6
"AL","Blount County","01009","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Blount County","01009","Federated Mutual Insurance Company","44902","off_market",31
"AL","Blount County","01009","UnitedHealthcare","42159","off_market",1
"AL","Blount County","01009","UnitedHealthcare","68259","off_market",13
"AL","Blount County","01009","UnitedHealthcare","69461","off_market",16
"AL","Blount County","01009","VIVA Health","93018","off_market",6
"AL","Bullock County","01011","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Bullock County","01011","Federated Mutual Insurance Company","44902","off_market",31
"AL","Bullock County","01011","UnitedHealthcare","42159","off_market",1
"AL","Bullock County","01011","UnitedHealthcare","68259","off_market",13
"AL","Bullock County","01011","UnitedHealthcare","69461","off_market",16
"AL","Bullock County","01011","VIVA Health","93018","off_market",6
"AL","Butler County","01013","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Butler County","01013","Federated Mutual Insurance Company","44902","off_market",31
"AL","Butler County","01013","UnitedHealthcare","42159","off_market",1
"AL","Butler County","01013","UnitedHealthcare","68259","off_market",13
"AL","Butler County","01013","UnitedHealthcare","69461","off_market",16
"AL","Butler County","01013","VIVA Health","93018","off_market",6
"AL","Calhoun County","01015","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Calhoun County","01015","Federated Mutual Insurance Company","44902","off_market",31
"AL","Calhoun County","01015","UnitedHealthcare","42159","off_market",1
"AL","Calhoun County","01015","UnitedHealthcare","68259","off_market",13
"AL","Calhoun County","01015","UnitedHealthcare","69461","off_market",16
"AL","Calhoun County","01015","VIVA Health","93018","off_market",6
"AL","Chambers County","01017","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Chambers County","01017","Federated Mutual Insurance Company","44902","off_market",31
"AL","Chambers County","01017","UnitedHealthcare","42159","off_market",1
"AL","Chambers County","01017","UnitedHealthcare","68259","off_market",13
"AL","Chambers County","01017","UnitedHealthcare","69461","off_market",16
"AL","Chambers County","01017","VIVA Health","93018","off_market",6
"AL","Cherokee County","01019","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Cherokee County","01019","Federated Mutual Insurance Company","44902","off_market",31
"AL","Cherokee County","01019","UnitedHealthcare","42159","off_market",1
"AL","Cherokee County","01019","UnitedHealthcare","68259","off_market",13
"AL","Cherokee County","01019","UnitedHealthcare","69461","off_market",16
"AL","Cherokee County","01019","VIVA Health","93018","off_market",6
"AL","Chilton County","01021","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Chilton County","01021","Federated Mutual Insurance Company","44902","off_market",31
"AL","Chilton County","01021","UnitedHealthcare","42159","off_market",1
"AL","Chilton County","01021","UnitedHealthcare","68259","off_market",13
"AL","Chilton County","01021","UnitedHealthcare","69461","off_market",16
"AL","Chilton County","01021","VIVA Health","93018","off_market",6
"AL","Choctaw County","01023","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Choctaw County","01023","Federated Mutual Insurance Company","44902","off_market",31
"AL","Choctaw County","01023","UnitedHealthcare","42159","off_market",1
"AL","Choctaw County","01023","UnitedHealthcare","68259","off_market",13
"AL","Choctaw County","01023","UnitedHealthcare","69461","off_market",16
"AL","Choctaw County","01023","VIVA Health","93018","off_market",6
"AL","Clarke County","01025","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Clarke County","01025","Federated Mutual Insurance Company","44902","off_market",31
"AL","Clarke County","01025","UnitedHealthcare","42159","off_market",1
"AL","Clarke County","01025","UnitedHealthcare","68259","off_market",13
"AL","Clarke County","01025","UnitedHealthcare","69461","off_market",16
"AL","Clarke County","01025","VIVA Health","93018","off_market",6
"AL","Clay County","01027","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Clay County","01027","Federated Mutual Insurance Company","44902","off_market",31
"AL","Clay County","01027","UnitedHealthcare","42159","off_market",1
"AL","Clay County","01027","UnitedHealthcare","68259","off_market",13
"AL","Clay County","01027","UnitedHealthcare","69461","off_market",16
"AL","Clay County","01027","VIVA Health","93018","off_market",6
"AL","Cleburne County","01029","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Cleburne County","01029","Federated Mutual Insurance Company","44902","off_market",31
"AL","Cleburne County","01029","UnitedHealthcare","42159","off_market",1
"AL","Cleburne County","01029","UnitedHealthcare","68259","off_market",13
"AL","Cleburne County","01029","UnitedHealthcare","69461","off_market",16
"AL","Cleburne County","01029","VIVA Health","93018","off_market",6
"AL","Coffee County","01031","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Coffee County","01031","Federated Mutual Insurance Company","44902","off_market",31
"AL","Coffee County","01031","UnitedHealthcare","42159","off_market",1
"AL","Coffee County","01031","UnitedHealthcare","68259","off_market",13
"AL","Coffee County","01031","UnitedHealthcare","69461","off_market",16
"AL","Coffee County","01031","VIVA Health","93018","off_market",6
"AL","Colbert County","01033","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Colbert County","01033","Federated Mutual Insurance Company","44902","off_market",31
"AL","Colbert County","01033","UnitedHealthcare","42159","off_market",1
"AL","Colbert County","01033","UnitedHealthcare","68259","off_market",13
"AL","Colbert County","01033","UnitedHealthcare","69461","off_market",16
"AL","Colbert County","01033","VIVA Health","93018","off_market",6
"AL","Conecuh County","01035","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Conecuh County","01035","Federated Mutual Insurance Company","44902","off_market",31
"AL","Conecuh County","01035","UnitedHealthcare","42159","off_market",1
"AL","Conecuh County","01035","UnitedHealthcare","68259","off_market",13
"AL","Conecuh County","01035","UnitedHealthcare","69461","off_market",16
"AL","Conecuh County","01035","VIVA Health","93018","off_market",6
"AL","Coosa County","01037","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Coosa County","01037","Federated Mutual Insurance Company","44902","off_market",31
"AL","Coosa County","01037","UnitedHealthcare","42159","off_market",1
"AL","Coosa County","01037","UnitedHealthcare","68259","off_market",13
"AL","Coosa County","01037","UnitedHealthcare","69461","off_market",16
"AL","Coosa County","01037","VIVA Health","93018","off_market",6
"AL","Covington County","01039","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Covington County","01039","Federated Mutual Insurance Company","44902","off_market",31
"AL","Covington County","01039","UnitedHealthcare","42159","off_market",1
"AL","Covington County","01039","UnitedHealthcare","68259","off_market",13
"AL","Covington County","01039","UnitedHealthcare","69461","off_market",16
"AL","Covington County","01039","VIVA Health","93018","off_market",6
"AL","Crenshaw County","01041","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Crenshaw County","01041","Federated Mutual Insurance Company","44902","off_market",31
"AL","Crenshaw County","01041","UnitedHealthcare","42159","off_market",1
"AL","Crenshaw County","01041","UnitedHealthcare","68259","off_market",13
"AL","Crenshaw County","01041","UnitedHealthcare","69461","off_market",16
"AL","Crenshaw County","01041","VIVA Health","93018","off_market",6
"AL","Cullman County","01043","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Cullman County","01043","Federated Mutual Insurance Company","44902","off_market",31
"AL","Cullman County","01043","UnitedHealthcare","42159","off_market",1
"AL","Cullman County","01043","UnitedHealthcare","68259","off_market",13
"AL","Cullman County","01043","UnitedHealthcare","69461","off_market",16
"AL","Cullman County","01043","VIVA Health","93018","off_market",6
"AL","Dale County","01045","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Dale County","01045","Federated Mutual Insurance Company","44902","off_market",31
"AL","Dale County","01045","UnitedHealthcare","42159","off_market",1
"AL","Dale County","01045","UnitedHealthcare","68259","off_market",13
"AL","Dale County","01045","UnitedHealthcare","69461","off_market",16
"AL","Dale County","01045","VIVA Health","93018","off_market",6
"AL","Dallas County","01047","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Dallas County","01047","Federated Mutual Insurance Company","44902","off_market",31
"AL","Dallas County","01047","UnitedHealthcare","42159","off_market",1
"AL","Dallas County","01047","UnitedHealthcare","68259","off_market",13
"AL","Dallas County","01047","UnitedHealthcare","69461","off_market",16
"AL","Dallas County","01047","VIVA Health","93018","off_market",6
"AL","DeKalb County","01049","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","DeKalb County","01049","Federated Mutual Insurance Company","44902","off_market",31
"AL","DeKalb County","01049","UnitedHealthcare","42159","off_market",1
"AL","DeKalb County","01049","UnitedHealthcare","68259","off_market",13
"AL","DeKalb County","01049","UnitedHealthcare","69461","off_market",16
"AL","DeKalb County","01049","VIVA Health","93018","off_market",6
"AL","Elmore County","01051","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Elmore County","01051","Federated Mutual Insurance Company","44902","off_market",31
"AL","Elmore County","01051","UnitedHealthcare","42159","off_market",1
"AL","Elmore County","01051","UnitedHealthcare","68259","off_market",13
"AL","Elmore County","01051","UnitedHealthcare","69461","off_market",16
"AL","Elmore County","01051","VIVA Health","93018","off_market",6
"AL","Escambia County","01053","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Escambia County","01053","Federated Mutual Insurance Company","44902","off_market",31
"AL","Escambia County","01053","UnitedHealthcare","42159","off_market",1
"AL","Escambia County","01053","UnitedHealthcare","68259","off_market",13
"AL","Escambia County","01053","UnitedHealthcare","69461","off_market",16
"AL","Escambia County","01053","VIVA Health","93018","off_market",6
"AL","Etowah County","01055","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Etowah County","01055","Federated Mutual Insurance Company","44902","off_market",31
"AL","Etowah County","01055","UnitedHealthcare","42159","off_market",1
"AL","Etowah County","01055","UnitedHealthcare","68259","off_market",13
"AL","Etowah County","01055","UnitedHealthcare","69461","off_market",16
"AL","Etowah County","01055","VIVA Health","93018","off_market",6
"AL","Fayette County","01057","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Fayette County","01057","Federated Mutual Insurance Company","44902","off_market",31
"AL","Fayette County","01057","UnitedHealthcare","42159","off_market",1
"AL","Fayette County","01057","UnitedHealthcare","68259","off_market",13
"AL","Fayette County","01057","UnitedHealthcare","69461","off_market",16
"AL","Fayette County","01057","VIVA Health","93018","off_market",6
"AL","Franklin County","01059","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Franklin County","01059","Federated Mutual Insurance Company","44902","off_market",31
"AL","Franklin County","01059","UnitedHealthcare","42159","off_market",1
"AL","Franklin County","01059","UnitedHealthcare","68259","off_market",13
"AL","Franklin County","01059","UnitedHealthcare","69461","off_market",16
"AL","Franklin County","01059","VIVA Health","93018","off_market",6
"AL","Geneva County","01061","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Geneva County","01061","Federated Mutual Insurance Company","44902","off_market",31
"AL","Geneva County","01061","UnitedHealthcare","42159","off_market",1
"AL","Geneva County","01061","UnitedHealthcare","68259","off_market",13
"AL","Geneva County","01061","UnitedHealthcare","69461","off_market",16
"AL","Geneva County","01061","VIVA Health","93018","off_market",6
"AL","Greene County","01063","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Greene County","01063","Federated Mutual Insurance Company","44902","off_market",31
"AL","Greene County","01063","UnitedHealthcare","42159","off_market",1
"AL","Greene County","01063","UnitedHealthcare","68259","off_market",13
"AL","Greene County","01063","UnitedHealthcare","69461","off_market",16
"AL","Greene County","01063","VIVA Health","93018","off_market",6
"AL","Hale County","01065","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Hale County","01065","Federated Mutual Insurance Company","44902","off_market",31
"AL","Hale County","01065","UnitedHealthcare","42159","off_market",1
"AL","Hale County","01065","UnitedHealthcare","68259","off_market",13
"AL","Hale County","01065","UnitedHealthcare","69461","off_market",16
"AL","Hale County","01065","VIVA Health","93018","off_market",6
"AL","Henry County","01067","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Henry County","01067","Federated Mutual Insurance Company","44902","off_market",31
"AL","Henry County","01067","UnitedHealthcare","42159","off_market",1
"AL","Henry County","01067","UnitedHealthcare","68259","off_market",13
"AL","Henry County","01067","UnitedHealthcare","69461","off_market",16
"AL","Henry County","01067","VIVA Health","93018","off_market",6
"AL","Houston County","01069","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Houston County","01069","Federated Mutual Insurance Company","44902","off_market",31
"AL","Houston County","01069","UnitedHealthcare","42159","off_market",1
"AL","Houston County","01069","UnitedHealthcare","68259","off_market",13
"AL","Houston County","01069","UnitedHealthcare","69461","off_market",16
"AL","Houston County","01069","VIVA Health","93018","off_market",6
"AL","Jackson County","01071","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Jackson County","01071","Federated Mutual Insurance Company","44902","off_market",31
"AL","Jackson County","01071","UnitedHealthcare","42159","off_market",1
"AL","Jackson County","01071","UnitedHealthcare","68259","off_market",13
"AL","Jackson County","01071","UnitedHealthcare","69461","off_market",16
"AL","Jackson County","01071","VIVA Health","93018","off_market",6
"AL","Jefferson County","01073","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Jefferson County","01073","Federated Mutual Insurance Company","44902","off_market",31
"AL","Jefferson County","01073","UnitedHealthcare","42159","off_market",1
"AL","Jefferson County","01073","UnitedHealthcare","68259","off_market",13
"AL","Jefferson County","01073","UnitedHealthcare","69461","off_market",16
"AL","Jefferson County","01073","VIVA Health","93018","off_market",6
"AL","Lamar County","01075","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Lamar County","01075","Federated Mutual Insurance Company","44902","off_market",31
"AL","Lamar County","01075","UnitedHealthcare","42159","off_market",1
"AL","Lamar County","01075","UnitedHealthcare","68259","off_market",13
"AL","Lamar County","01075","UnitedHealthcare","69461","off_market",16
"AL","Lamar County","01075","VIVA Health","93018","off_market",6
"AL","Lauderdale County","01077","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Lauderdale County","01077","Federated Mutual Insurance Company","44902","off_market",31
"AL","Lauderdale County","01077","UnitedHealthcare","42159","off_market",1
"AL","Lauderdale County","01077","UnitedHealthcare","68259","off_market",13
"AL","Lauderdale County","01077","UnitedHealthcare","69461","off_market",16
"AL","Lauderdale County","01077","VIVA Health","93018","off_market",6
"AL","Lawrence County","01079","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Lawrence County","01079","Federated Mutual Insurance Company","44902","off_market",31
"AL","Lawrence County","01079","UnitedHealthcare","42159","off_market",1
"AL","Lawrence County","01079","UnitedHealthcare","68259","off_market",13
"AL","Lawrence County","01079","UnitedHealthcare","69461","off_market",16
"AL","Lawrence County","01079","VIVA Health","93018","off_market",6
"AL","Lee County","01081","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Lee County","01081","Federated Mutual Insurance Company","44902","off_market",31
"AL","Lee County","01081","UnitedHealthcare","42159","off_market",1
"AL","Lee County","01081","UnitedHealthcare","68259","off_market",13
"AL","Lee County","01081","UnitedHealthcare","69461","off_market",16
"AL","Lee County","01081","VIVA Health","93018","off_market",6
"AL","Limestone County","01083","BlueCross BlueShield of Alabama","46944","on_market",6
"AL","Limestone County","01083","Federated Mutual Insurance Company","44902","off_market",31
